,sparse_method,dense_method,score,IS60,IS80,IS90,IS95,IS975,IS
18,OMP,RVM,RMSE,2843.9807224363035,3706.5051622588367,4523.8540603303645,5324.849296843533,6154.167355716087,22553.356597585127
19,OMP,RVM,VS,3260.8099129074203,4394.225606319084,5678.609044134299,7297.091194655557,9479.760357372417,30110.496115388778
20,elastic_net,BLR,ES,2718.3160804317245,3535.98417098981,4302.113725785684,5052.402803429892,5836.113529155751,21444.930309792864
21,elastic_net,BLR,IS,2689.563384508209,3495.2419908315774,4251.0618975247735,4984.691615824868,5739.351410761335,21159.910299450763
22,elastic_net,BLR,LogS,2681.722006671037,3487.2257702193206,4250.048520627843,4991.28677405557,5747.085942818236,21157.369014392007
23,elastic_net,BLR,RMSE,2711.59940698961,3527.5915069836938,4295.1325075990535,5047.581029058434,5833.194196937728,21415.09864756852
24,elastic_net,BLR,VS,2721.9442056715825,3540.0946226835576,4305.050720159738,5055.491841119686,5838.074657710708,21460.656047345274
25,elastic_net,GPR,ES,2842.5110179693693,3966.9215562007976,5420.828864680318,7492.287389409867,10622.791197810679,30345.34002607103
26,elastic_net,GPR,IS,2690.083266476684,3510.797122096481,4309.730009621695,5126.312530964071,6011.572942261967,21648.4958714209
27,elastic_net,GPR,LogS,2658.7034442836903,3473.4128808974524,4272.99959659026,5089.2847343781195,5968.427513026136,21462.828169175657
28,elastic_net,GPR,RMSE,2780.847272246126,3623.535987054929,4445.263200379664,5300.243673201486,6239.813844736969,22389.703977619174
29,elastic_net,GPR,VS,2831.3586569535805,3936.208352026184,5345.000523514093,7344.994546625791,10362.052736342031,29819.614815461682
30,elastic_net,MTGPR,ES,2788.297539596195,3736.6463620179625,4797.532701397378,6093.077009785757,7786.96379707863,25202.517409875923
31,elastic_net,MTGPR,IS,2777.0264484071704,3690.108725989183,4685.937749512108,5868.582074440369,7393.103957655765,24414.758956004596
32,elastic_net,MTGPR,LogS,2941.152577962604,3907.9672457557076,4954.306308570086,6203.512609346944,7830.5885686535,25837.527310288842
33,elastic_net,MTGPR,RMSE,2787.8487623001147,3735.7336908436937,4795.760328096492,6089.352124874808,7781.178202568629,25189.87310868374
34,elastic_net,MTGPR,VS,3646.802929298444,5591.794763285798,8604.550759909001,13645.570078513414,22438.20820124495,53926.92673225161
35,elastic_net,RVM,ES,3257.7657579021998,4634.86297163435,6464.020012302421,9152.456446703745,13329.616089166746,36838.72127770946
36,elastic_net,RVM,IS,2845.526596496469,3703.9439882519628,4533.3842015789805,5371.537856360602,6295.823212205457,22750.21585489347
37,elastic_net,RVM,LogS,2837.7801689946355,3686.9083757998205,4500.501240994483,5315.997972994942,6193.285681884778,22534.473440668655
38,elastic_net,RVM,RMSE,2868.170809188049,3741.7749835910163,4583.099766151032,5426.3691258162735,6334.292315134446,22953.706999880815
39,elastic_net,RVM,VS,3270.2022834184154,4648.430065480783,6481.292457219633,9171.665714245697,13349.717239972553,36921.307760337084
40,group_lasso,BLR,ES,2923.5532341364697,3791.290175247854,4618.373133502066,5426.403931272656,6244.017704719165,23003.638178878213
41,group_lasso,BLR,IS,2792.593880727764,3625.7002648479756,4409.6751741870585,5184.868072568193,5994.935960462977,22007.773352793967
42,group_lasso,BLR,LogS,2923.6505474402256,3791.5098479185194,4619.388788788343,5428.406342425722,6249.021705713669,23011.97723228648
43,group_lasso,BLR,RMSE,2909.2318414689453,3782.656069584991,4616.3835526246785,5429.949040516206,6251.343593895132,22989.564098089955
44,group_lasso,BLR,VS,2789.290603629589,3617.3854270728148,4393.546480647824,5157.355750720188,5958.330922527566,21915.909184597982
45,group_lasso,GPR,ES,2908.845975559671,4071.033773138712,5586.195600423307,7734.326904349466,10979.491323377004,31279.89357684816
46,group_lasso,GPR,IS,2781.412781980275,3601.267925823155,4402.6921879334,5232.740415532511,6134.7377995582965,22152.85111082764
47,group_lasso,GPR,LogS,2897.3800100739104,3757.2946442874327,4599.897533067473,5455.414477779576,6359.874704124481,23069.861369332873
48,group_lasso,GPR,RMSE,2861.617946373556,3736.3204189715657,4609.488275312313,5522.868923705475,6527.9332317933895,23258.228796156298
49,group_lasso,GPR,VS,2918.2525653979606,3889.2110128289573,5003.031412391637,6420.536549724948,8362.666458178777,26593.69799852228
50,group_lasso,MTGPR,ES,2898.2709302630383,3884.9499404316884,4993.477052012529,6373.6383465963845,8217.481908292977,26367.818177596615
51,group_lasso,MTGPR,IS,2897.6220136617562,3818.9410498698103,4797.051165315993,5951.757215281899,7418.958537343789,24884.329981473245
52,group_lasso,MTGPR,LogS,2897.675430733024,3818.8155649865034,4796.627440743672,5950.751867710587,7417.036286348955,24880.90659052274
53,group_lasso,MTGPR,RMSE,2898.8695947480933,3876.9812717312443,4967.914289480197,6311.521316569252,8087.4398527247795,26142.726325253567
54,group_lasso,MTGPR,VS,2998.1867695724304,4307.459050369084,6106.183524420887,8820.499059929429,13190.964478409976,35423.292882701804
55,group_lasso,RVM,ES,3300.2840198069307,4658.037737329325,6425.554238546334,8970.794193616824,12863.155267826298,36217.82545712571
56,group_lasso,RVM,IS,2829.967831157679,3698.240163981935,4533.003701443662,5368.281724808398,6259.960789129176,22689.454210520853
57,group_lasso,RVM,LogS,2873.9759369856856,3749.4934448152167,4593.724945245083,5432.95111830215,6303.606232182346,22953.75167753048
58,group_lasso,RVM,RMSE,2872.0787460711067,3756.445258024366,4602.410234333309,5438.0095843212,6303.753655321646,22972.697478071626
59,group_lasso,RVM,VS,3345.809123910224,4743.467510890159,6593.240498262181,9278.98471034415,13409.782079926885,37371.2839233336
60,lasso,BLR,ES,2737.293416214948,3539.679916066082,4283.484862494639,5025.350709906694,5809.871206165348,21395.68011084771
61,lasso,BLR,IS,2737.988976917796,3537.9933138077895,4279.445031794349,5016.608059065661,5794.714177768781,21366.74955935438
62,lasso,BLR,LogS,2711.4427112416147,3495.6237559940346,4227.239540335731,4944.724713830604,5683.876572504814,21062.9072939068
63,lasso,BLR,RMSE,2737.293416214948,3539.679916066082,4283.484862494639,5025.350709906694,5809.871206165348,21395.68011084771
64,lasso,BLR,VS,2737.293416214948,3539.679916066082,4283.484862494639,5025.350709906694,5809.871206165348,21395.68011084771
65,lasso,GPR,ES,2707.1591800580004,3520.979205873967,4325.943306993267,5181.869529585449,6160.906736098523,21896.857958609206
66,lasso,GPR,IS,2748.034557237629,3555.1983011694315,4325.6866439251735,5107.7602056273045,5969.462846568303,21706.14255452784
67,lasso,GPR,LogS,2743.706330110965,3564.0293138463967,4349.460409548092,5114.2172842878645,5899.434005117033,21670.84734291035
68,lasso,GPR,RMSE,2713.257182127617,3547.830933896019,4372.703266371792,5207.228303796058,6099.160318096432,21940.18000428792
69,lasso,GPR,VS,3175.3279527424716,4462.061539303438,6115.783304984647,8422.477359680912,11803.995923968312,33979.646080679784
70,lasso,MTGPR,ES,2795.6770898304467,3750.0062473861753,4824.67333367057,6138.2936883925895,7859.871589854413,25368.521949134196
71,lasso,MTGPR,IS,2815.8274481149583,3720.455410616879,4691.013318543609,5830.602494163676,7260.760098243699,24318.65876968282
72,lasso,MTGPR,LogS,2792.398684913944,3694.2566454428297,4668.700790529673,5816.219596073804,7264.560644002027,24236.13636096228
73,lasso,MTGPR,RMSE,2795.3765838095833,3743.7044811467754,4806.009042982327,6099.342003241383,7786.531898993203,25230.96401017327
74,lasso,MTGPR,VS,3136.867187423733,4600.326736178567,6701.568707161416,10013.355267954605,15542.933048840647,39995.05094755897
75,lasso,RVM,ES,3283.163048957214,4659.827909016533,6469.821225763074,9096.34345231444,13159.680184671646,36668.83582072291
76,lasso,RVM,IS,3137.656867071407,3985.981537506089,4806.232770495176,5641.438750439709,6506.50781948817,24077.817745000553
77,lasso,RVM,LogS,2975.0329676354486,3927.1928345009565,4902.990480397401,6002.226739847427,7357.811788509659,25165.25481089089
78,lasso,RVM,RMSE,2975.1365544593104,3935.4216423027965,4915.875747787684,6009.630138589545,7351.026687632601,25187.090770771938
79,lasso,RVM,VS,3283.163048957214,4659.827909016533,6469.821225763074,9096.34345231444,13159.680184671646,36668.83582072291
